,ID,Src,Species,Common name,Species group,Location,Map ref.,Vice county,Date,Recorder,Determiner,
Not reviewed,21230544,23 (iRecord) | 374 (iRecord App),Urophora cardui,,insect - true fly (Diptera),"Lansdown, Bath",ST732678,North Somerset,28/07/2021,"Carpenter, Dan",,58c889b9be9772da67e7d41b95d75b7f47da26b6.jpg; ; 
Not reviewed,20896749,23 (iRecord) | 374 (iRecord App),Apus apus,Swift,bird,272 Liverpool Road,SU731736,Berkshire,08/07/2021,"Carpenter, Dan",,
Not reviewed,20760744,23 (iRecord) | 374 (iRecord App),Lucanus cervus,Stag Beetle,insect - beetle (Coleoptera),Oakley Road Reading,SU708756,Oxfordshire,24/06/2021,"Carpenter, Dan",Claire Ryder,
Not reviewed,20472162,23 (iRecord) | 374 (iRecord App),Biorhiza pallida,Oak Apple,insect - hymenopteran,Heath Lake,SU828651,Berkshire,23/05/2021,"Carpenter, Dan",,648f8ec8600e04e1895c899a9f3ea07d396dd43e.jpg; ; 
Not reviewed,20472118,23 (iRecord) | 374 (iRecord App),Podiceps cristatus,Great Crested Grebe,bird,Heath Lake,SU830651,Berkshire,23/05/2021,"Carpenter, Dan",,
Accepted as correct,20457954,23 (iRecord) | 374 (iRecord App),Oryctolagus cuniculus,European Rabbit,terrestrial mammal,Adj River Thames,SU735739,Berkshire,20/05/2021,"Carpenter, Dan",,
Not reviewed,20453995,23 (iRecord) | 374 (iRecord App),Podiceps cristatus,Great Crested Grebe,bird,Whiteknights campus,SU736720,Berkshire,19/05/2021,"Carpenter, Dan",,
Not reviewed,20407057,23 (iRecord) | 374 (iRecord App),Biorhiza pallida,Oak Apple,insect - hymenopteran,Whiteknights campus,SU736722,Berkshire,16/05/2021,"Carpenter, Dan",,d7b558d76d07f0fbe573789c025c49a49558bd34.jpg; ; 
Not reviewed,20370533,23 (iRecord) | 374 (iRecord App),Egretta garzetta,Little Egret,bird,Thames Valley Park,SU742743,Berkshire,08/05/2021,"Carpenter, Dan",,
Not reviewed,20312639,23 (iRecord) | 374 (iRecord App),Agelastica alni,Alder Leaf Beetle,insect - beetle (Coleoptera),Whiteknights campus,SU736720,Berkshire,01/05/2021,"Carpenter, Dan",,
